True,Pred
0.99,1.0531200000000003
0.8,0.9944000000000008
1.12,1.0937599999999983
1.17,1.2251199999999995
1.3,1.2970400000000013
1.18,1.2388800000000006
1.09,1.1511200000000008
1.12,1.257600000000001
0.87,0.8706400000000007
1.19,1.1497599999999994
1.08,1.02528
1.22,1.2198399999999994
1.03,1.0461600000000006
0.63,0.6391999999999999
1.16,1.225519999999999
0.91,0.9174400000000003
1.14,1.185360000000001
1.15,1.1472799999999994
1.14,1.1732799999999992
1.03,1.0544800000000003
1.14,1.1641600000000003
1.16,1.2011999999999992
0.9,0.9751199999999989
1.07,0.974559999999999
1.11,1.0658400000000003
0.96,1.045759999999999
1.18,1.0985599999999993
1.03,1.04528
1.1,1.0704799999999994
1.14,1.23944
1.09,1.0644800000000012
1.23,1.2058399999999994
0.92,0.9872800000000006
0.72,0.7801599999999994
1.33,1.327039999999999
1.22,1.2379200000000008
0.9,0.9591999999999994
0.99,1.0310400000000004
0.95,1.0216800000000001
1.08,1.0335999999999985
1.25,1.332720000000001
1.39,1.3334400000000024
1.0,1.0300800000000003
1.23,1.2269599999999994
0.96,1.1001599999999998
1.0,1.05264
1.08,1.056879999999999
1.04,1.0200799999999999
1.05,1.047840000000001
1.04,1.0501600000000009
1.06,1.0814400000000002
0.99,1.07776
1.08,1.1579199999999994
1.56,1.5003200000000019
1.28,1.3710400000000011
1.36,1.2792800000000009
1.11,0.9723199999999997
0.99,1.0114399999999988
0.94,0.8514400000000008
1.23,1.0868799999999996
1.18,1.1465599999999987
0.87,0.7822400000000002
0.65,0.8965599999999999
1.05,1.0706399999999991
0.74,0.7743200000000001
1.04,0.9384000000000011
0.81,1.0547999999999995
1.04,1.01608
0.6,0.6339200000000002
0.66,0.6624800000000007
1.2,1.141759999999999
0.83,0.7966399999999998
1.23,1.1770399999999994
0.94,1.0572799999999996
1.36,1.3460800000000026
1.13,1.1135200000000012
0.97,0.9580000000000006
0.93,1.1106400000000003
1.62,1.4272000000000018
1.04,0.9645600000000002
1.15,1.1490399999999985
0.82,1.0939200000000007
1.13,1.1167200000000004
1.12,1.0747199999999997
0.66,0.7839199999999995
1.07,1.1068799999999992
0.98,1.0211200000000002
1.04,1.0331200000000003
1.15,1.0755199999999996
0.67,0.8055199999999999
1.13,1.0523999999999993
0.76,0.80736
0.91,0.8221599999999996
1.11,1.03128
1.23,1.18392
1.09,1.1787200000000004
1.14,1.0934399999999989
1.15,1.18672
0.82,0.8534400000000002
1.0,1.1638400000000004
1.03,0.9848000000000009
1.19,1.1390399999999996
1.29,1.2586400000000013
1.11,1.1644800000000002
1.08,1.1124799999999992
1.0,1.0124799999999994
1.02,1.0715200000000011
1.04,1.1571199999999997
0.79,0.7224800000000002
1.1,1.369920000000001
1.4,1.3174399999999984
1.06,1.0839999999999992
1.08,1.1551999999999993
0.99,1.1075199999999996
1.39,1.3672000000000017
1.18,1.144159999999999
0.63,0.8404799999999997
1.0,1.0443999999999989
0.95,0.9816799999999993
1.08,1.0696
1.27,1.3360799999999973
0.85,0.8767200000000004
1.08,1.08856
1.08,1.1490400000000005
0.75,0.8058400000000003
1.12,1.2562399999999991
1.23,1.1992800000000001
1.21,1.1716
1.62,1.5213599999999994
1.08,1.0727199999999972
0.8,0.782959999999999
0.89,0.9196000000000001
1.14,1.1854400000000005
1.05,1.02528
1.16,1.1856800000000014
0.74,0.7492000000000003
1.01,1.0138400000000005
1.19,1.1593599999999997
1.3,1.1688799999999993
1.1,1.0887200000000015
1.07,1.002879999999999
0.98,1.1498400000000004
0.99,1.07328
0.83,0.8505600000000011
0.77,0.881680000000001
1.14,1.1836800000000005
1.13,1.1043199999999993
1.6,1.314719999999999
0.7,0.7468799999999998
0.77,0.807840000000001
0.94,1.0157600000000002
0.91,0.9856800000000007
1.12,1.1689600000000004
1.39,1.4036000000000006
1.09,1.0496799999999988
1.06,1.0499199999999993
1.14,1.1520800000000018
0.98,1.1089600000000006
0.98,1.0131200000000002
1.14,1.06152
1.22,1.2056
0.99,0.9933600000000004
0.89,0.8597600000000007
0.93,1.0631999999999997
1.24,1.1726399999999995
1.26,1.3225599999999993
1.47,1.3276000000000001
1.15,1.1840000000000008
0.99,1.1076799999999996
0.92,1.1332
1.1,1.1276799999999998
1.32,1.2071200000000004
0.89,0.9148800000000007
1.11,1.0159199999999988
0.92,1.05256
1.21,1.2425600000000003
1.05,1.0488000000000006
0.99,0.9694400000000021
0.77,0.8360800000000003
1.04,1.1002400000000012
1.2,1.1610399999999992
1.02,1.01416
1.13,1.1543199999999998
1.31,1.1714400000000003
0.56,0.6907200000000006
1.19,1.2069599999999991
1.01,0.9832800000000004
0.98,1.0119199999999995
1.15,1.036
0.8,0.8539199999999989
1.21,1.1926399999999995
1.05,1.0192799999999989
1.19,1.1999199999999994
0.89,0.9512799999999998
1.08,1.1395200000000014
1.09,1.2468000000000017
1.37,1.218
1.04,1.0066400000000009
1.28,0.9120799999999991
1.28,1.1992000000000018
1.36,1.3960800000000033
1.45,1.35408
1.25,1.1548799999999995
1.57,1.3884799999999997
0.91,0.9223199999999997
1.01,0.944560000000001
0.83,0.8387200000000005
1.02,0.9710400000000002
1.22,1.0302399999999998
1.01,1.0149600000000008
1.11,1.0779999999999994
1.25,1.1803200000000014
1.13,1.0879199999999989
1.22,1.251279999999998
1.18,1.224479999999999
1.15,1.1069599999999995
1.41,1.3519200000000025
1.22,1.2076000000000005
0.79,1.1345600000000002
1.0,0.988640000000001
1.05,1.12528
1.02,1.0610400000000002
1.04,0.9706400000000012
0.97,1.1843200000000005
0.75,0.7324799999999991
0.97,0.9819999999999993
0.62,0.8201599999999998
1.14,1.1264800000000017
1.13,1.3306400000000003
1.1,1.1299200000000011
0.93,1.0420800000000006
0.56,0.6023200000000001
1.27,1.2535999999999992
0.88,0.9002399999999999
1.11,1.1443199999999996
0.83,0.9655199999999997
0.98,1.0207199999999992
1.17,1.1775199999999997
1.1,1.2509600000000012
1.11,1.1470400000000023
1.08,1.1052000000000002
1.16,1.0008000000000008
